ten_cong_viec,ten_cong_ty,muc_luong,dia_chi,ngay_dang,nganh_nghe,quy_mo_cong_ty,quoc_tich_cong_ty,nam_kinh_nghiem,cap_bac,loai_hinh,loai_hop_dong,cong_nghe_su_dung,quy_trinh_phong_van,url
['Fresher Java Developer (English/Chinese)'],['Cathay Life'],['Thương lượng'],"['Tòa nhà The World Center, 46-48-50 Phạm Hồng Thái, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh']",['Đăng 5 giờ trước'],['Bảo Hiểm'],['Hơn 1000 Nhân viên'],['Taiwan'],['Không yêu cầu'],['Fresher'],['In Office'],['Fulltime'],"['Java', 'JavaScript', 'Java Swing']",[],https://topdev.vn/viec-lam/fresher-java-developer-english-chinese-cathay-life-2034482?src=topdev_search&medium=searchresult
['TRUNG TÂM ĐỔI MỚI SÁNG TẠO - LẬP TRÌNH VIÊN JAVA'],['Tổng Công ty Bưu điện Việt Nam (Vietnam Post)'],['20.000.000 VND to 30.000.000 VND'],"['Tòa nhà Vietnam Post - Số 5 Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 6 giờ trước'],['Logistics'],['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 3 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['Java', 'Restful Api', 'PostgreSql']","['Vòng 1: Phỏng vấn qua điện thoại', 'Vòng 2: Phỏng vấn trực tiếp', 'Vòng 3: Trao đổi với lãnh đạo cấp cao hơn (nếu có)']",https://topdev.vn/viec-lam/trung-tam-doi-moi-sang-tao-lap-trinh-vien-java-tong-cong-ty-buu-dien-viet-nam-vietnam-post-2034481?src=topdev_search&medium=searchresult
['System Engineer'],['Công ty Cổ phần Công nghệ Truyền thông Việt Nam (VNTT)'],['Thương lượng'],"['Số 02, Đường Tiên Phong 03, Khu Công nghệ cao Maple Tree, Phường Hoà Phú, Thành phố Thủ Dầu Một, Tỉnh Bình Dương']",['Đăng 20 giờ trước'],['Dịch vụ doanh nghiệp'],['100-499 Nhân viên'],['Vietnam'],['Từ 3 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['IT Security', 'Security Engineer', 'System Security']","['Vòng 1: Phỏng vấn qua điện thoại', 'Vòng 2: Phỏng vấn trực tiếp với Trưởng', 'Vòng 3: Deal lương']",https://topdev.vn/viec-lam/system-engineer-cong-ty-co-phan-cong-nghe-truyen-thong-viet-nam-vntt-2034305?src=topdev_search&medium=searchresult
['Middle - Senior Java Developer'],['WATA Software'],['Thương lượng'],"['Tòa nhà 3 Bees, 281 Nguyễn Văn Trỗi, Phường 10, Quận Phú Nhuận, Thành phố Hồ Chí Minh']",['Đăng 20 giờ trước'],['Phần Mềm'],['25-99 Nhân viên'],['Vietnam'],['Từ 3 năm'],"['Middle, Senior']",['In Office'],"['Fulltime', 'Part-time']","['Java', 'Spring', 'Angular']","['Vòng 1: Phone Interview', 'Vòng 2: Technical Interview', 'Vòng 3: Growth mindset interview']",https://topdev.vn/viec-lam/middle-senior-java-developer-wata-software-2034239?src=topdev_search&medium=searchresult
['Cán Bộ IT Bảo Mật Hệ Thống Công Nghệ Thông Tin'],['Tổ chức tài chính vi mô TNHH MTV Tình Thương (trực thuộc Hội Liên hiệp Phụ nữ Việt Nam)'],['Lên tới 1.000 USD'],"['Tầng 3 - Tòa B - Trung tâm Phụ nữ và Phát triển, số 20, Phường Thụy Khuê, Quận Tây Hồ, Thành phố Hà Nội']",['Đăng 20 giờ trước'],"['Ngân Hàng, Tài Chính']",['500-999 Nhân viên'],['Vietnam'],['Từ 2 năm'],"['Junior, Middle']",['In Office'],['Fulltime'],"['IT Security', 'Security Engineer', 'System Security']","['Vòng 1: Sơ loại hồ sơ', 'Vòng 2: Thi tuyển (nghiệp vụ và tiếng Anh) và phỏng vấn']",https://topdev.vn/viec-lam/can-bo-it-bao-mat-he-thong-cong-nghe-thong-tin-to-chuc-tai-chinh-vi-mo-tnhh-mtv-tinh-thuong-truc-thuoc-hoi-lien-hiep-phu-nu-viet-nam-2034361?src=topdev_search&medium=searchresult
['DevOps Engineer'],['LG CNS Việt Nam'],['Thương lượng'],"['Tầng 15, tòa Keangnam Landmark 72, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Phần Mềm'],['100-499 Nhân viên'],"['South-Korea, Vietnam']",['Từ 1 năm'],"['Junior, Middle, Senior']",['In Office'],['Fulltime'],"['Python', 'DevOps', 'Docker', 'CI/CD', 'bash']","['Vòng 1: Book an Interview Schedule with HR manager.', 'Vòng 2: 1st interview with VN Senior Leaders (Online/offline meeting room)', 'Vòng 3: 2nd Interview with Kr Senior PM (Online meeting room)', 'Vòng 4: If passed, negotiate salary and bonus.', 'Vòng 5: Confirm onboarding Date']",https://topdev.vn/viec-lam/devops-engineer-lg-cns-viet-nam-2034336?src=topdev_search&medium=searchresult
"['Back End Developer (.NET, C#, SQL)']",['LG CNS Việt Nam'],['Thương lượng'],"['Tầng 15, tòa Keangnam Landmark 72, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Phần Mềm'],['100-499 Nhân viên'],"['South-Korea, Vietnam']",['Từ 1 năm'],"['Junior, Middle, Senior']",['In Office'],['Fulltime'],"['C#', 'SQL', '.NET', 'Back-End']",[],https://topdev.vn/viec-lam/back-end-developer-net-c-sql-lg-cns-viet-nam-2034335?src=topdev_search&medium=searchresult
['Senior Application Security Specialist - Kiểm thử xâm nhập'],['Ngân hàng TMCP An Bình (ABBANK)'],['1.500 USD to 2.200 USD'],"['36 Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Ngân Hàng'],['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 5 năm'],['Senior'],['In Office'],['Fulltime'],"['C#', 'Python', 'IT Security', 'Security Engineer', 'Application Security']",[],https://topdev.vn/viec-lam/senior-application-security-specialist-kiem-thu-xam-nhap-ngan-hang-tmcp-an-binh-abbank-2034365?src=topdev_search&medium=searchresult
['Security Incident Management - Quản lý sự cố ATTT'],['Ngân hàng TMCP An Bình (ABBANK)'],['1.500 USD to 2.200 USD'],"['36 Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Ngân Hàng'],['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 5 năm'],['Senior'],['In Office'],['Fulltime'],"['IT Manager', 'IT Security', 'Security Engineer']",[],https://topdev.vn/viec-lam/security-incident-management-quan-ly-su-co-attt-ngan-hang-tmcp-an-binh-abbank-2034366?src=topdev_search&medium=searchresult
['Senior System Engineer'],['CÔNG TY TNHH SAMSUNG SDS VIỆT NAM'],['Thương lượng'],"['Tòa nhà PVI, số 1 Phạm Văn Bạch, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Dịch vụ IT'],['Hơn 1000 Nhân viên'],['South-Korea'],['Từ 5 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['Linux', 'Database Administrator', 'Windows']","['Vòng 1: Review CV', 'Vòng 2: Interview with Technical Team']",https://topdev.vn/viec-lam/senior-system-engineer-cong-ty-tnhh-samsung-sds-viet-nam-2034306?src=topdev_search&medium=searchresult
"['Front-End Developer (ReactJS, VueJS, HTML)']",['LG CNS Việt Nam'],['Thương lượng'],"['Tầng 15, tòa Keangnam Landmark 72, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Phần Mềm'],['100-499 Nhân viên'],"['South-Korea, Vietnam']",['Từ 2 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['JavaScript', 'JQuery', 'HTML', 'ReactJS', 'VueJS']","['Vòng 1: Book an Interview Schedule with HR manager.', 'Vòng 2: 1st interview with VN Senior Leaders', 'Vòng 3: 2nd Interview with Kr Senior PM', 'Vòng 4: If passed, negotiate salary and bonus.', 'Vòng 5: Confirm onboarding Date.']",https://topdev.vn/viec-lam/front-end-developer-reactjs-vuejs-html-lg-cns-viet-nam-2034338?src=topdev_search&medium=searchresult
"['Back-End Developer (Java, SQL)']",['LG CNS Việt Nam'],['Thương lượng'],"['Tầng 15, tòa Keangnam Landmark 72, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Phần Mềm'],['100-499 Nhân viên'],"['South-Korea, Vietnam']",['Từ 2 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['Java', 'SQL', 'Spring', 'API', 'Spring Boot']","['Vòng 1: Book an Interview Schedule with HR manager.', 'Vòng 2: 1st interview with VN Senior Leaders (Offline Interview)', 'Vòng 3: 2nd Interview with Kr Senior PM (Online meeting room, use English and Vietnamese to answer)', 'Vòng 4: If passed, negotiate salary and bonus.', 'Vòng 5: Confirm onboarding Date.']",https://topdev.vn/viec-lam/back-end-developer-java-sql-lg-cns-viet-nam-2034337?src=topdev_search&medium=searchresult
['SOC Analyst (Tier 3) - CS01'],['FPT IS'],['Thương lượng'],"['Landmark 72, E6 Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],"['Information Technology, B2B Services, Technology and Computer Sciences']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 4 năm'],['Senior'],['In Office'],['Fulltime'],"['Database', 'Data Analyst']",['Vòng 1: 1 Vòng phỏng vấn với Technical không có bài test'],https://topdev.vn/viec-lam/soc-analyst-tier-3-cs01-fpt-is-2034368?src=topdev_search&medium=searchresult
['Governance-Risk-Compliance Consultant - CS01'],['FPT IS'],['Thương lượng'],"['Tầng 12 - FPT Tower - 10 Phạm Văn Bạch, Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội']",['Đăng 20 giờ trước'],"['Information Technology, B2B Services, Technology and Computer Sciences']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 2 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['IT Consultant', 'Security Engineer']",['Vòng 1: 1 Vòng phỏng vấn với Technical không có bài test'],https://topdev.vn/viec-lam/governance-risk-compliance-consultant-cs01-fpt-is-2034371?src=topdev_search&medium=searchresult
['Solution Architect (Cyber Security Product) - CS01'],['FPT IS'],['Thương lượng'],"['Landmark 72, E6 Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],"['Information Technology, B2B Services, Technology and Computer Sciences']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 2 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['Solution Architect', 'Cybersecurity']",['Vòng 1: 1 Vòng phỏng vấn với Technical không có bài test'],https://topdev.vn/viec-lam/solution-architect-cyber-security-product-cs01-fpt-is-2034370?src=topdev_search&medium=searchresult
['Chuyên viên Phân tích nghiệp vụ (BA)'],['Công ty Dịch vụ Số Bưu điện (Vietnam Post Digital)'],['25.000.000 VND to 40.000.000 VND'],"['Số 5, Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],"['Dịch vụ doanh nghiệp, B2B Services']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 2 năm'],['Middle'],['In Office'],['Fulltime'],['Business Analyst'],[],https://topdev.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu-ba-cong-ty-dich-vu-so-buu-dien-vietnam-post-digital-2034373?src=topdev_search&medium=searchresult
['Senior Full-stack Mobile Developer'],['Tinai Private Limited (Dreamerly)'],['2.000 USD to 4.000 USD'],"['., Remote', 'Vincom Center Đồng Khởi, 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh']",['Đăng 20 giờ trước'],['Phần Mềm'],['10-24 Nhân viên'],['Singapore'],['Từ 3 năm'],['Senior'],"['Remote', 'Hybrid']",['Fulltime'],"['Android', 'iOS', 'Full-Stack']","['Vòng 1: Phỏng vấn với Tech Lead', 'Vòng 2: Phỏng vấn với Tech Lead', 'Vòng 3: Phỏng vấn với Designer']",https://topdev.vn/viec-lam/senior-full-stack-mobile-developer-tinai-private-limited-dreamerly-2034372?src=topdev_search&medium=searchresult
['Backend Developer'],['CÔNG TY TNHH ASTRA TECHNOLOGY'],['Thương lượng'],"['Tầng 5, 86, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Phần Mềm'],['10-24 Nhân viên'],['South-Korea'],['Từ 5 năm'],['Senior'],['In Office'],['Fulltime'],"['Java', 'MySQL', 'Git', 'Back-End', 'Spring']","['Vòng 1: Vòng CV', 'Vòng 2: Phỏng vấn']",https://topdev.vn/viec-lam/backend-developer-cong-ty-tnhh-astra-technology-2034375?src=topdev_search&medium=searchresult
['Middle/Senior Testing Engineer'],['TrinTech'],['Thương lượng'],"['208 Cô Bắc (Halo Building), Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh']",['Đăng 20 giờ trước'],['Giải trí/ Game'],['10-24 Nhân viên'],['Vietnam'],['Từ 3 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['HTML5', 'SQL', 'Tester', 'Automation Tester', 'Manual Test']",[],https://topdev.vn/viec-lam/middle-senior-testing-engineer-trintech-2034374?src=topdev_search&medium=searchresult
"['Junior/ Experienced Tester (QA/QC, English required)']",['Ekino VietNam'],['Thương lượng'],"['Tầng 3, The Emporium, 184 đường Lê Đại Hành, Phường 15, Quận 11, Thành phố Hồ Chí Minh']",['Đăng 20 giờ trước'],"['Dịch vụ doanh nghiệp, Dịch vụ IT']",['100-499 Nhân viên'],['France'],['Không yêu cầu'],"['Fresher, Junior, Middle, Senior']",['In Office'],['Fulltime'],"['Tester', 'English', 'QA/QC']","['Vòng 1: Phone interview (in both English and Vietnamese).', 'Vòng 2: Physical interview with Department Leads and HR specialist.', 'Vòng 3: For some positions, a technical test will be required.']",https://topdev.vn/viec-lam/junior-experienced-tester-qa-qc-english-required-ekino-vietnam-2034367?src=topdev_search&medium=searchresult
"['Front-End Developer (ReactJS, VueJS, HTML)']",['LG CNS Việt Nam'],['Thương lượng'],"['Tầng 15, tòa Keangnam Landmark 72, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Phần Mềm'],['100-499 Nhân viên'],"['South-Korea, Vietnam']",['Từ 2 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['JavaScript', 'JQuery', 'HTML', 'ReactJS', 'VueJS']","['Vòng 1: Book an Interview Schedule with HR manager.', 'Vòng 2: 1st interview with VN Senior Leaders', 'Vòng 3: 2nd Interview with Kr Senior PM', 'Vòng 4: If passed, negotiate salary and bonus.', 'Vòng 5: Confirm onboarding Date.']",https://topdev.vn/viec-lam/front-end-developer-reactjs-vuejs-html-lg-cns-viet-nam-2034338?src=topdev_search&medium=searchresult
"['Back-End Developer (Java, SQL)']",['LG CNS Việt Nam'],['Thương lượng'],"['Tầng 15, tòa Keangnam Landmark 72, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Phần Mềm'],['100-499 Nhân viên'],"['South-Korea, Vietnam']",['Từ 2 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['Java', 'SQL', 'Spring', 'API', 'Spring Boot']","['Vòng 1: Book an Interview Schedule with HR manager.', 'Vòng 2: 1st interview with VN Senior Leaders (Offline Interview)', 'Vòng 3: 2nd Interview with Kr Senior PM (Online meeting room, use English and Vietnamese to answer)', 'Vòng 4: If passed, negotiate salary and bonus.', 'Vòng 5: Confirm onboarding Date.']",https://topdev.vn/viec-lam/back-end-developer-java-sql-lg-cns-viet-nam-2034337?src=topdev_search&medium=searchresult
['SOC Analyst (Tier 3) - CS01'],['FPT IS'],['Thương lượng'],"['Landmark 72, E6 Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],"['Information Technology, B2B Services, Technology and Computer Sciences']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 4 năm'],['Senior'],['In Office'],['Fulltime'],"['Database', 'Data Analyst']",['Vòng 1: 1 Vòng phỏng vấn với Technical không có bài test'],https://topdev.vn/viec-lam/soc-analyst-tier-3-cs01-fpt-is-2034368?src=topdev_search&medium=searchresult
['Governance-Risk-Compliance Consultant - CS01'],['FPT IS'],['Thương lượng'],"['Tầng 12 - FPT Tower - 10 Phạm Văn Bạch, Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội']",['Đăng 20 giờ trước'],"['Information Technology, B2B Services, Technology and Computer Sciences']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 2 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['IT Consultant', 'Security Engineer']",['Vòng 1: 1 Vòng phỏng vấn với Technical không có bài test'],https://topdev.vn/viec-lam/governance-risk-compliance-consultant-cs01-fpt-is-2034371?src=topdev_search&medium=searchresult
['Solution Architect (Cyber Security Product) - CS01'],['FPT IS'],['Thương lượng'],"['Landmark 72, E6 Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],"['Information Technology, B2B Services, Technology and Computer Sciences']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 2 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['Solution Architect', 'Cybersecurity']",['Vòng 1: 1 Vòng phỏng vấn với Technical không có bài test'],https://topdev.vn/viec-lam/solution-architect-cyber-security-product-cs01-fpt-is-2034370?src=topdev_search&medium=searchresult
['Chuyên viên Phân tích nghiệp vụ (BA)'],['Công ty Dịch vụ Số Bưu điện (Vietnam Post Digital)'],['25.000.000 VND to 40.000.000 VND'],"['Số 5, Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],"['Dịch vụ doanh nghiệp, B2B Services']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 2 năm'],['Middle'],['In Office'],['Fulltime'],['Business Analyst'],[],https://topdev.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu-ba-cong-ty-dich-vu-so-buu-dien-vietnam-post-digital-2034373?src=topdev_search&medium=searchresult
['Senior Full-stack Mobile Developer'],['Tinai Private Limited (Dreamerly)'],['2.000 USD to 4.000 USD'],"['., Remote', 'Vincom Center Đồng Khởi, 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh']",['Đăng 20 giờ trước'],['Phần Mềm'],['10-24 Nhân viên'],['Singapore'],['Từ 3 năm'],['Senior'],"['Remote', 'Hybrid']",['Fulltime'],"['Android', 'iOS', 'Full-Stack']","['Vòng 1: Phỏng vấn với Tech Lead', 'Vòng 2: Phỏng vấn với Tech Lead', 'Vòng 3: Phỏng vấn với Designer']",https://topdev.vn/viec-lam/senior-full-stack-mobile-developer-tinai-private-limited-dreamerly-2034372?src=topdev_search&medium=searchresult
['Backend Developer'],['CÔNG TY TNHH ASTRA TECHNOLOGY'],['Thương lượng'],"['Tầng 5, 86, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Phần Mềm'],['10-24 Nhân viên'],['South-Korea'],['Từ 5 năm'],['Senior'],['In Office'],['Fulltime'],"['Java', 'MySQL', 'Git', 'Back-End', 'Spring']","['Vòng 1: Vòng CV', 'Vòng 2: Phỏng vấn']",https://topdev.vn/viec-lam/backend-developer-cong-ty-tnhh-astra-technology-2034375?src=topdev_search&medium=searchresult
['Middle/Senior Testing Engineer'],['TrinTech'],['Thương lượng'],"['208 Cô Bắc (Halo Building), Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh']",['Đăng 20 giờ trước'],['Giải trí/ Game'],['10-24 Nhân viên'],['Vietnam'],['Từ 3 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['HTML5', 'SQL', 'Tester', 'Automation Tester', 'Manual Test']",[],https://topdev.vn/viec-lam/middle-senior-testing-engineer-trintech-2034374?src=topdev_search&medium=searchresult
"['Junior/ Experienced Tester (QA/QC, English required)']",['Ekino VietNam'],['Thương lượng'],"['Tầng 3, The Emporium, 184 đường Lê Đại Hành, Phường 15, Quận 11, Thành phố Hồ Chí Minh']",['Đăng 20 giờ trước'],"['Dịch vụ doanh nghiệp, Dịch vụ IT']",['100-499 Nhân viên'],['France'],['Không yêu cầu'],"['Fresher, Junior, Middle, Senior']",['In Office'],['Fulltime'],"['Tester', 'English', 'QA/QC']","['Vòng 1: Phone interview (in both English and Vietnamese).', 'Vòng 2: Physical interview with Department Leads and HR specialist.', 'Vòng 3: For some positions, a technical test will be required.']",https://topdev.vn/viec-lam/junior-experienced-tester-qa-qc-english-required-ekino-vietnam-2034367?src=topdev_search&medium=searchresult
"['Front-End Developer (ReactJS, VueJS, HTML)']",['LG CNS Việt Nam'],['Thương lượng'],"['Tầng 15, tòa Keangnam Landmark 72, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Phần Mềm'],['100-499 Nhân viên'],"['South-Korea, Vietnam']",['Từ 2 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['JavaScript', 'JQuery', 'HTML', 'ReactJS', 'VueJS']","['Vòng 1: Book an Interview Schedule with HR manager.', 'Vòng 2: 1st interview with VN Senior Leaders', 'Vòng 3: 2nd Interview with Kr Senior PM', 'Vòng 4: If passed, negotiate salary and bonus.', 'Vòng 5: Confirm onboarding Date.']",https://topdev.vn/viec-lam/front-end-developer-reactjs-vuejs-html-lg-cns-viet-nam-2034338?src=topdev_search&medium=searchresult
"['Back-End Developer (Java, SQL)']",['LG CNS Việt Nam'],['Thương lượng'],"['Tầng 15, tòa Keangnam Landmark 72, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Phần Mềm'],['100-499 Nhân viên'],"['South-Korea, Vietnam']",['Từ 2 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['Java', 'SQL', 'Spring', 'API', 'Spring Boot']","['Vòng 1: Book an Interview Schedule with HR manager.', 'Vòng 2: 1st interview with VN Senior Leaders (Offline Interview)', 'Vòng 3: 2nd Interview with Kr Senior PM (Online meeting room, use English and Vietnamese to answer)', 'Vòng 4: If passed, negotiate salary and bonus.', 'Vòng 5: Confirm onboarding Date.']",https://topdev.vn/viec-lam/back-end-developer-java-sql-lg-cns-viet-nam-2034337?src=topdev_search&medium=searchresult
['SOC Analyst (Tier 3) - CS01'],['FPT IS'],['Thương lượng'],"['Landmark 72, E6 Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],"['Information Technology, B2B Services, Technology and Computer Sciences']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 4 năm'],['Senior'],['In Office'],['Fulltime'],"['Database', 'Data Analyst']",['Vòng 1: 1 Vòng phỏng vấn với Technical không có bài test'],https://topdev.vn/viec-lam/soc-analyst-tier-3-cs01-fpt-is-2034368?src=topdev_search&medium=searchresult
['Governance-Risk-Compliance Consultant - CS01'],['FPT IS'],['Thương lượng'],"['Tầng 12 - FPT Tower - 10 Phạm Văn Bạch, Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội']",['Đăng 20 giờ trước'],"['Information Technology, B2B Services, Technology and Computer Sciences']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 2 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['IT Consultant', 'Security Engineer']",['Vòng 1: 1 Vòng phỏng vấn với Technical không có bài test'],https://topdev.vn/viec-lam/governance-risk-compliance-consultant-cs01-fpt-is-2034371?src=topdev_search&medium=searchresult
['Solution Architect (Cyber Security Product) - CS01'],['FPT IS'],['Thương lượng'],"['Landmark 72, E6 Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],"['Information Technology, B2B Services, Technology and Computer Sciences']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 2 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['Solution Architect', 'Cybersecurity']",['Vòng 1: 1 Vòng phỏng vấn với Technical không có bài test'],https://topdev.vn/viec-lam/solution-architect-cyber-security-product-cs01-fpt-is-2034370?src=topdev_search&medium=searchresult
['Chuyên viên Phân tích nghiệp vụ (BA)'],['Công ty Dịch vụ Số Bưu điện (Vietnam Post Digital)'],['25.000.000 VND to 40.000.000 VND'],"['Số 5, Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],"['Dịch vụ doanh nghiệp, B2B Services']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 2 năm'],['Middle'],['In Office'],['Fulltime'],['Business Analyst'],[],https://topdev.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu-ba-cong-ty-dich-vu-so-buu-dien-vietnam-post-digital-2034373?src=topdev_search&medium=searchresult
['Senior Full-stack Mobile Developer'],['Tinai Private Limited (Dreamerly)'],['2.000 USD to 4.000 USD'],"['., Remote', 'Vincom Center Đồng Khởi, 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh']",['Đăng 20 giờ trước'],['Phần Mềm'],['10-24 Nhân viên'],['Singapore'],['Từ 3 năm'],['Senior'],"['Remote', 'Hybrid']",['Fulltime'],"['Android', 'iOS', 'Full-Stack']","['Vòng 1: Phỏng vấn với Tech Lead', 'Vòng 2: Phỏng vấn với Tech Lead', 'Vòng 3: Phỏng vấn với Designer']",https://topdev.vn/viec-lam/senior-full-stack-mobile-developer-tinai-private-limited-dreamerly-2034372?src=topdev_search&medium=searchresult
['Backend Developer'],['CÔNG TY TNHH ASTRA TECHNOLOGY'],['Thương lượng'],"['Tầng 5, 86, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Phần Mềm'],['10-24 Nhân viên'],['South-Korea'],['Từ 5 năm'],['Senior'],['In Office'],['Fulltime'],"['Java', 'MySQL', 'Git', 'Back-End', 'Spring']","['Vòng 1: Vòng CV', 'Vòng 2: Phỏng vấn']",https://topdev.vn/viec-lam/backend-developer-cong-ty-tnhh-astra-technology-2034375?src=topdev_search&medium=searchresult
['Middle/Senior Testing Engineer'],['TrinTech'],['Thương lượng'],"['208 Cô Bắc (Halo Building), Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh']",['Đăng 20 giờ trước'],['Giải trí/ Game'],['10-24 Nhân viên'],['Vietnam'],['Từ 3 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['HTML5', 'SQL', 'Tester', 'Automation Tester', 'Manual Test']",[],https://topdev.vn/viec-lam/middle-senior-testing-engineer-trintech-2034374?src=topdev_search&medium=searchresult
